COD_PROV,DEN_PROV,year,deaths,cdr,imr,e0
52,Siena,1891,3736,17.0,,
89,Siracusa,1891,9068,23.6,,
67,Teramo,1891,5319,18.94,,
1,Torino,1891,17116,15.9,,
81,Trapani,1891,6516,20.0,,
26,Treviso,1891,7425,18.86,,
30,Udine,1891,9967,18.22,,
27,Venezia,1891,6975,18.4,,
23,Verona,1891,7134,17.48,,
24,Vicenza,1891,8022,19.01,,
6,Alessandria,1897,26183,32.95,,
51,Arezzo,1897,1387,5.23,,
64,Avellino,1897,5906,14.75,,
72,Bari,1897,4799,6.03,,
25,Belluno,1897,7062,37.35,,
62,Benevento,1897,4095,16.2,,
16,Bergamo,1897,17435,39.14,,
37,Bologna,1897,16638,32.43,,
17,Brescia,1897,17693,33.72,,
85,Caltanissetta,1897,5074,16.1,,
61,Caserta,1897,11356,14.74,,
87,Catania,1897,10102,14.94,,
79,Catanzaro,1897,5402,11.55,,
69,Chieti,1897,4137,11.33,,
13,Como,1897,18750,33.08,,
78,Cosenza,1897,7265,15.73,,
19,Cremona,1897,10693,33.15,,
4,Cuneo,1897,20442,32.09,,
38,Ferrara,1897,10953,41.59,,
48,Firenze,1897,4768,5.25,,
